Tangential Coordintae (mm)	Measured Slope (rad)
-78.	-0.0012903510416785529
-77.8	-0.0013193557753384225
-77.6	-0.0013488227036150117
-77.4	-0.0013666078160655224
-77.2	-0.0013774871074344103
-77.	-0.0013889439888115712
-76.8	-0.0013957903520716193
-76.6	-0.0013972670924955813
-76.4	-0.0013953084267360305
-76.2	-0.0013914910997095574
-76.	-0.001386874408140786
-75.8	-0.0013821463126151793
-75.6	-0.0013775764773535652
-75.4	-0.0013731878322237028
-75.2	-0.0013690344319060132
-75.	-0.0013649357120572457
-74.8	-0.0013609134736124514
-74.6	-0.0013569883360157293
-74.4	-0.001353085633232943
-74.2	-0.0013492830340223112
-74.	-0.0013455660905746804
-73.8	-0.0013418046843474464
-73.6	-0.0013379543544378182
-73.4	-0.001334159130681094
-73.2	-0.0013303015913431542
-73.	-0.0013264440215137992
-72.8	-0.001322667116370061
-72.6	-0.0013189093727485224
-72.4	-0.0013150771932813076
-72.2	-0.0013113003998099925
-72.	-0.0013074341721487047
-71.8	-0.0013034693476912276
-71.6	-0.0012995590351349915
-71.4	-0.0012956267904590372
-71.2	-0.0012917247975831345
-71.	-0.0012878999337140608
-70.8	-0.0012840941430546907
-70.6	-0.0012803567580064277
-70.4	-0.0012766548799439522
-70.2	-0.0012728899525614491
-70.	-0.001268998853747095
-69.8	-0.001265187707401329
-69.6	-0.0012613697864358457
-69.4	-0.0012576058662351114
-69.2	-0.001253848096092756
-69.	-0.0012501208463564382
-68.8	-0.0012463866896059996
-68.6	-0.0012426231035010886
-68.4	-0.0012387919397054779
-68.2	-0.001234915148538125
-68.	-0.0012311110926443239
-67.8	-0.0012272569185344958
-67.6	-0.001223465072513183
-67.4	-0.001219774014450666
-67.2	-0.001215980842113657
-67.	-0.0012121618007478433
-66.8	-0.0012084169940273666
-66.6	-0.001204657360333079
-66.4	-0.0012008051222000878
-66.2	-0.0011969927676324038
-66.	-0.0011932174647158167
-65.8	-0.0011894966168190994
-65.6	-0.0011858400677183004
-65.4	-0.001182119704853627
-65.2	-0.0011783511895807827
-65.	-0.0011746409742288788
-64.8	-0.0011708954509717204
-64.6	-0.0011670974006844277
-64.4	-0.001163307374443762
-64.2	-0.0011595353977555255
-64.	-0.0011557457685475825
-63.8	-0.0011520306474389894
-63.6	-0.0011482517352829139
-63.4	-0.0011444158187940874
-63.2	-0.0011406479848592836
-63.	-0.0011369455090374818
-62.8	-0.001133121960687911
