Tangential Coordintae (mm)	Measured Slope (rad)
-77.8	-0.0010766157126933197
-77.6	-0.0010740722717265147
-77.4	-0.001070960069096388
-77.2	-0.0010677846689665733
-77.	-0.0010644942561801715
-76.8	-0.0010611689603731655
-76.6	-0.0010579382038912292
-76.4	-0.0010546548822684483
-76.2	-0.0010512538439789933
-76.	-0.0010481787549570343
-75.8	-0.0010452147077199888
-75.6	-0.0010422645752408387
-75.4	-0.001039522593405201
-75.2	-0.0010369956454939029
-75.	-0.0010345172097265124
-74.8	-0.0010318871309814293
-74.6	-0.0010291279258541894
-74.4	-0.001026323974556448
-74.2	-0.0010236239631088693
-74.	-0.0010208720873081906
-73.8	-0.0010178530561870923
-73.6	-0.0010150731107119548
-73.4	-0.0010123321413224846
-73.2	-0.0010095308067445121
-73.	-0.001006542984793236
-72.8	-0.0010037384398432644
-72.6	-0.001001032727368461
-72.4	-0.0009982538507343406
-72.2	-0.0009953502236275935
-72.	-0.0009923865647844111
-71.8	-0.0009895819533780523
-71.6	-0.0009867866449500115
-71.4	-0.0009838570323048876
-71.2	-0.0009809628763012969
-71.	-0.0009782818822888127
-70.8	-0.0009755122500974245
-70.6	-0.0009725985070581657
-70.4	-0.0009697920607671556
-70.2	-0.000967141825956411
-70.	-0.0009645236942914204
-69.8	-0.0009617506127431165
-69.6	-0.0009588747335442768
-69.4	-0.0009559339511606205
-69.2	-0.0009531370815828806
-69.	-0.0009501950638239524
-68.8	-0.0009471291597056833
-68.6	-0.0009442528887279711
-68.4	-0.0009414452581854258
-68.2	-0.0009384761880360672
-68.	-0.0009356262874483762
-67.8	-0.0009330104977562586
-67.6	-0.0009303766824645059
-67.4	-0.0009276436202097573
-67.2	-0.0009248362253127042
-67.	-0.0009219204979031217
-66.8	-0.000919230705926557
-66.6	-0.0009164768736706733
-66.4	-0.0009135792678260206
-66.2	-0.000910837633933039
-66.	-0.0009082383739177358
-65.8	-0.0009055742160539979
-65.6	-0.0009026895319755773
-65.4	-0.0008999931786119605
-65.2	-0.0008973950533433491
-65.	-0.0008946953996946589
-64.8	-0.000891853302369103
-64.6	-0.0008889212315259333
-64.4	-0.0008859314230178089
-64.2	-0.0008831794808394723
-64.	-0.0008801970769087562
-63.8	-0.0008772629110914889
-63.6	-0.0008745502855505711
-63.4	-0.0008718225318887783
-63.2	-0.0008688996652833232
-63.	-0.0008660526360355761
-62.8	-0.0008634113182572796
-62.6	-0.0008607547934774691
-62.4	-0.0008579977216533133
-62.2	-0.0008551080875115399
-62.	-0.0008522118704847054
-61.8	-0.0008495063518341778
-61.6	-0.0008466674539220036
-61.4	-0.0008437028152765903
-61.2	-0.0008408943584547262
-61.	-0.0008381154693748278
-60.8	-0.0008351981144952326
-60.6	-0.0008322183860843504
-60.4	-0.000829468615638375
-60.2	-0.0008268097223470298
-60.	-0.0008240812816210024
-59.8	-0.0008212648060260846
-59.6	-0.0008183965754027541
-59.4	-0.0008157263843479044
-59.2	-0.00081304355308357
-59.	-0.0008101656591914507
-58.8	-0.0008073279415112551
-58.6	-0.0008046801276380811
-58.4	-0.0008019761805496611
-58.2	-0.0007990435556009735
-58.	-0.0007962504323226965
-57.8	-0.0007936391219829794
-57.6	-0.0007910121682986194
-57.4	-0.0007882487073594078
-57.2	-0.000785407730645683
-57.	-0.000782488782531015
-56.8	-0.0007797594409700442
-56.6	-0.0007769356651044327
-56.4	-0.000773947230494631
-56.2	-0.0007711122064284777
-56.	-0.0007683539183767278
-55.8	-0.0007655106417358809
-55.6	-0.0007625698958163193
-55.4	-0.0007598471228000423
-55.2	-0.0007571904217037987
-55.	-0.000754480956786512
-54.8	-0.000751646958125619
-54.6	-0.0007487422487351466
-54.4	-0.000746017628124367
-54.2	-0.0007432834163929607
-54.	-0.0007403958938225785
-53.8	-0.0007375382079342484
-53.6	-0.0007348436298731758
-53.4	-0.000732052074647574
-53.2	-0.0007290783954346604
-53.	-0.00072627347987008
-52.8	-0.0007236022353698477
-52.6	-0.0007209224736451898
-52.4	-0.0007180858367030553
-52.2	-0.0007151860935849072
-52.	-0.0007123865218765557
-51.8	-0.0007097172097623159
-51.6	-0.000706912513819738
-51.4	-0.000703946830765121
-51.2	-0.0007012530783783676
-51.	-0.0006985568714505397
-50.8	-0.0006956329047291601
-50.6	-0.0006927486981404618
-50.4	-0.0006900510619138766
-50.2	-0.000687411966909454
-50.	-0.0006847005674068836
-49.8	-0.000681928207324481
-49.6	-0.0006790551080093648
-49.4	-0.0006763965919171662
-49.2	-0.0006736845205250974
-49.	-0.0006707751468428269
-48.8	-0.0006680001518824729
-48.6	-0.0006653357768528133
-48.4	-0.0006625632876109944
-48.2	-0.000659568753957357
-48.	-0.0006567507796705808
-47.8	-0.0006541256205100992
-47.6	-0.0006514432490465778
-47.4	-0.0006486809892850428
-47.2	-0.0006458670138239187
-47.	-0.0006430874497023352
-46.8	-0.000640445265858669
-46.6	-0.0006377000907668821
-46.4	-0.0006347628378046334
-46.2	-0.0006320331270740319
-46.	-0.0006292699799185456
-45.8	-0.0006263623241064919
-45.6	-0.0006234006736180367
-45.4	-0.0006206506084710115
-45.2	-0.0006179429489116269
-45.	-0.0006151608895821078
-44.8	-0.0006122939878689741
-44.6	-0.0006093449955621372
-44.4	-0.0006066358456562019
-44.2	-0.0006038902927120488
-44.	-0.0006009561098934406
-43.8	-0.0005981459288486519
-43.6	-0.0005954975689385169
